product_name,original_price,current_price,product_url,extraction-date
Protetor De Sofá Lado Direito E Esquerdo E Arranhador Para Gatos  (par)  - Prático,149,134.91,https://produto.mercadolivre.com.br/MLB-1301173874-protetor-de-sofa-lado-direito-e-esquerdo-e-arranhador-para-gatos-par-pratico-_JM?variation=42293054960&hide_psmb=true#reco_item_pos=31&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Forever Liss Cauter Restore + Blindagem Capilar 500g,70,67.35,https://produto.mercadolivre.com.br/MLB-1338825332-forever-liss-cauter-restore-blindagem-capilar-500g-_JM?hide_psmb=true#reco_item_pos=32&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Inversores 500w Conversor Entrada 12v Saida 110v,169,161.39,https://produto.mercadolivre.com.br/MLB-769732631-inversores-500w-conversor-entrada-12v-saida-110v-_JM?hide_psmb=true#reco_item_pos=33&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
10m Luz Fita Led Colorida 5050 Rgb Quarto Branco Quente 12v,119,113.57,https://produto.mercadolivre.com.br/MLB-1957988790-10m-luz-fita-led-colorida-5050-rgb-quarto-branco-quente-12v-_JM?hide_psmb=true#reco_item_pos=34&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Soprador Termico 1500w 110v Gamma G1935/br1,98,88.20,https://produto.mercadolivre.com.br/MLB-721323029-soprador-termico-1500w-110v-gamma-g1935br1-_JM?variation=32068872682&hide_psmb=true#reco_item_pos=35&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Cozinha Itatiaia Completa Amanda 4 Peças Branco Nevada,799,671.91,https://produto.mercadolivre.com.br/MLB-1814032564-cozinha-itatiaia-completa-amanda-4-pecas-branco-nevada-_JM?variation=77824718235&hide_psmb=true#reco_item_pos=36&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Conjunto Roupa De Ciclismo (camisa + Bermuda) P Ao Ggg,129,108.36,https://produto.mercadolivre.com.br/MLB-1951211716-conjunto-roupa-de-ciclismo-camisa-bermuda-p-ao-ggg-_JM?hide_psmb=true#reco_item_pos=37&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
"Tapete Peludo Sala Quarto 2x2,50 Pelo Alto 200x2,50",189,167.11,https://produto.mercadolivre.com.br/MLB-1301448597-tapete-peludo-sala-quarto-2x250-pelo-alto-200x250-_JM?variation=44380150751&hide_psmb=true#reco_item_pos=38&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Kit Unha Gel Completo Fibra Kit Unhas Gel Profissional C/nfe,369,332.91,https://produto.mercadolivre.com.br/MLB-1701113098-kit-unha-gel-completo-fibra-kit-unhas-gel-profissional-cnfe-_JM?hide_psmb=true#reco_item_pos=39&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Campanhia Video Porteiro Izy Smart Intelbras Ivw 3000+,799,659.90,https://produto.mercadolivre.com.br/MLB-2024129366-campanhia-video-porteiro-izy-smart-intelbras-ivw-3000-_JM?variation=173664624783&hide_psmb=true#reco_item_pos=40&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Poltrona Decorativa Pétala Rose Com Frete Grátis- Lv Moveis,699,587.16,https://produto.mercadolivre.com.br/MLB-1979440859-poltrona-decorativa-petala-rose-com-frete-gratis-lv-moveis-_JM?hide_psmb=true#reco_item_pos=41&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
